Object,Filter,MJD,Flux,Error,Tel,Obs
fairall_9,u,58271.426523, 7.181, 0.029,1m004,lsc
fairall_9,u,58271.426523, 7.322, 0.029,1m004,lsc
fairall_9,u,58271.430500, 7.459, 0.029,1m004,lsc
fairall_9,u,58271.430500, 7.455, 0.029,1m004,lsc
fairall_9,u,58273.407477, 7.492, 0.016,1m005,lsc
fairall_9,u,58273.407477, 7.357, 0.016,1m005,lsc
fairall_9,u,58273.411445, 7.496, 0.016,1m005,lsc
fairall_9,u,58273.411445, 7.510, 0.016,1m005,lsc
fairall_9,u,58274.109476, 7.476, 0.019,1m012,cpt
fairall_9,u,58274.109476, 7.426, 0.019,1m012,cpt
fairall_9,u,58274.113440, 7.516, 0.019,1m012,cpt
fairall_9,u,58274.113440, 7.500, 0.018,1m012,cpt
fairall_9,u,58274.363161, 7.456, 0.016,1m005,lsc
fairall_9,u,58274.363161, 7.488, 0.017,1m005,lsc
fairall_9,u,58274.367130, 7.492, 0.016,1m005,lsc
fairall_9,u,58274.367130, 7.529, 0.016,1m005,lsc
fairall_9,u,58276.181391, 7.734, 0.019,1m010,cpt
fairall_9,u,58276.181391, 7.744, 0.019,1m010,cpt
fairall_9,u,58276.185359, 7.714, 0.019,1m010,cpt
fairall_9,u,58276.185359, 7.646, 0.019,1m010,cpt
fairall_9,u,58276.431273, 7.749, 0.015,1m005,lsc
fairall_9,u,58276.431273, 7.762, 0.015,1m005,lsc
fairall_9,u,58276.435240, 7.717, 0.015,1m005,lsc
fairall_9,u,58276.435240, 7.762, 0.015,1m005,lsc
fairall_9,u,58277.180429, 7.576, 0.019,1m010,cpt
fairall_9,u,58277.180429, 7.522, 0.019,1m010,cpt
fairall_9,u,58277.184393, 7.687, 0.021,1m010,cpt
fairall_9,u,58277.184393, 7.710, 0.021,1m010,cpt
fairall_9,u,58277.361444, 7.606, 0.015,1m005,lsc
fairall_9,u,58277.361444, 7.569, 0.015,1m005,lsc
