Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_1365,u,59798.110746, 1.646, 0.014,1m010,cpt
NGC_1365,u,59798.112450, 1.674, 0.015,1m010,cpt
NGC_1365,u,59813.116061, 1.726, 0.013,1m010,cpt
NGC_1365,u,59813.117753, 1.700, 0.013,1m010,cpt
NGC_1365,u,59817.762782, 1.625, 0.010,1m003,coj
NGC_1365,u,59824.029908, 1.743, 0.025,1m012,cpt
NGC_1365,u,59824.031601, 1.758, 0.025,1m012,cpt
NGC_1365,u,59828.198913, 1.664, 0.032,1m004,lsc
NGC_1365,u,59828.200594, 1.718, 0.032,1m004,lsc
NGC_1365,u,59829.941026, 1.852, 0.031,1m010,cpt
NGC_1365,u,59834.990910, 1.595, 0.024,1m010,cpt
NGC_1365,u,59834.992604, 1.685, 0.025,1m010,cpt
NGC_1365,u,59835.961190, 1.617, 0.030,1m012,cpt
NGC_1365,u,59837.003113, 1.617, 0.018,1m013,cpt
NGC_1365,u,59837.004805, 1.651, 0.017,1m013,cpt
NGC_1365,u,59838.044570, 1.636, 0.022,1m012,cpt
NGC_1365,u,59838.046297, 1.572, 0.022,1m012,cpt
NGC_1365,u,59839.086468, 1.664, 0.016,1m013,cpt
NGC_1365,u,59839.088160, 1.635, 0.016,1m013,cpt
NGC_1365,u,59841.173584, 1.599, 0.014,1m009,lsc
NGC_1365,u,59841.175276, 1.597, 0.014,1m009,lsc
NGC_1365,u,59842.904300, 1.634, 0.016,1m013,cpt
NGC_1365,u,59842.905981, 1.632, 0.016,1m013,cpt
NGC_1365,u,59843.281509, 1.596, 0.011,1m009,lsc
NGC_1365,u,59843.283213, 1.587, 0.011,1m009,lsc
NGC_1365,u,59844.293528, 1.558, 0.007,1m005,lsc
NGC_1365,u,59844.295233, 1.589, 0.008,1m005,lsc
NGC_1365,u,59845.333448, 1.613, 0.011,1m009,lsc
NGC_1365,u,59845.335142, 1.601, 0.010,1m009,lsc
NGC_1365,u,59846.350069, 1.714, 0.021,1m004,lsc
NGC_1365,u,59846.351773, 1.625, 0.020,1m004,lsc
NGC_1365,u,59848.159286, 1.590, 0.009,1m005,lsc
NGC_1365,u,59848.160979, 1.557, 0.009,1m005,lsc
NGC_1365,u,59848.903264, 1.627, 0.015,1m013,cpt
NGC_1365,u,59848.904957, 1.662, 0.016,1m013,cpt
NGC_1365,u,59850.882302, 1.646, 0.016,1m013,cpt
NGC_1365,u,59850.883994, 1.682, 0.019,1m013,cpt
NGC_1365,u,59852.876843, 1.674, 0.016,1m013,cpt
NGC_1365,u,59852.878536, 1.673, 0.016,1m013,cpt
NGC_1365,u,59853.874145, 1.669, 0.017,1m013,cpt
NGC_1365,u,59853.875849, 1.717, 0.017,1m013,cpt
NGC_1365,u,59854.684526, 1.547, 0.011,1m011,coj
NGC_1365,u,59854.686220, 1.541, 0.011,1m011,coj
NGC_1365,u,59855.731872, 1.589, 0.010,1m003,coj
NGC_1365,u,59855.733566, 1.580, 0.010,1m003,coj
NGC_1365,u,59857.885140, 1.703, 0.022,1m010,cpt
NGC_1365,u,59857.886844, 1.674, 0.021,1m010,cpt
NGC_1365,u,59860.931900, 1.675, 0.026,1m013,cpt
NGC_1365,u,59860.933604, 1.662, 0.026,1m013,cpt
NGC_1365,u,59865.193756, 1.550, 0.010,1m005,lsc
NGC_1365,u,59865.195449, 1.580, 0.010,1m005,lsc
NGC_1365,u,59866.653996, 1.553, 0.013,1m011,coj
NGC_1365,u,59866.655690, 1.563, 0.012,1m011,coj
NGC_1365,u,59868.272417, 1.583, 0.008,1m005,lsc
NGC_1365,u,59868.274110, 1.577, 0.008,1m005,lsc
NGC_1365,u,59869.307181, 1.567, 0.008,1m005,lsc
NGC_1365,u,59869.308873, 1.560, 0.008,1m005,lsc
NGC_1365,u,59871.121821, 1.592, 0.009,1m005,lsc
NGC_1365,u,59871.123503, 1.578, 0.009,1m005,lsc
NGC_1365,u,59872.092075, 1.648, 0.015,1m013,cpt
NGC_1365,u,59872.093769, 1.629, 0.015,1m013,cpt
NGC_1365,u,59873.259196, 1.557, 0.007,1m005,lsc
NGC_1365,u,59873.260890, 1.583, 0.008,1m005,lsc
NGC_1365,u,59873.918985, 1.646, 0.020,1m012,cpt
NGC_1365,u,59873.920678, 1.642, 0.020,1m012,cpt
NGC_1365,u,59875.108035, 1.558, 0.015,1m014,tfn
NGC_1365,u,59875.109751, 1.601, 0.016,1m014,tfn
NGC_1365,u,59876.049212, 1.681, 0.022,1m012,cpt
NGC_1365,u,59876.050904, 1.631, 0.022,1m012,cpt
NGC_1365,u,59877.040968, 1.606, 0.018,1m010,cpt
NGC_1365,u,59877.042661, 1.671, 0.020,1m010,cpt
NGC_1365,u,59879.028102, 1.624, 0.013,1m013,cpt
NGC_1365,u,59879.029794, 1.636, 0.013,1m013,cpt
NGC_1365,u,59880.610269, 1.569, 0.011,1m011,coj
NGC_1365,u,59880.611973, 1.557, 0.011,1m011,coj
NGC_1365,u,59881.448186, 1.553, 0.014,1m011,coj
