Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_6814,u,59818.922741, 2.225, 0.011,1m014,tfn
NGC_6814,u,59818.924434, 2.207, 0.011,1m014,tfn
NGC_6814,u,59819.028218, 2.100, 0.016,1m001,tfn
NGC_6814,u,59819.029910, 2.145, 0.016,1m001,tfn
NGC_6814,u,59819.908499, 1.934, 0.020,1m012,cpt
NGC_6814,u,59819.910226, 1.919, 0.020,1m012,cpt
NGC_6814,u,59819.968466, 1.866, 0.018,1m010,cpt
NGC_6814,u,59819.970160, 1.896, 0.018,1m010,cpt
NGC_6814,u,59820.913367, 2.211, 0.011,1m001,tfn
NGC_6814,u,59820.915059, 2.228, 0.011,1m001,tfn
NGC_6814,u,59821.194124, 2.217, 0.013,1m009,lsc
NGC_6814,u,59821.195828, 2.157, 0.013,1m009,lsc
NGC_6814,u,59821.930751, 2.268, 0.037,1m012,cpt
NGC_6814,u,59821.932444, 2.089, 0.029,1m012,cpt
NGC_6814,u,59821.962768, 2.136, 0.029,1m013,cpt
NGC_6814,u,59821.964461, 2.145, 0.027,1m013,cpt
NGC_6814,u,59822.594277, 1.939, 0.013,1m003,coj
NGC_6814,u,59822.595981, 1.940, 0.013,1m003,coj
NGC_6814,u,59823.003689, 2.026, 0.009,1m005,lsc
NGC_6814,u,59823.005382, 2.061, 0.009,1m005,lsc
NGC_6814,u,59823.937244, 1.780, 0.034,1m012,cpt
NGC_6814,u,59823.938917, 1.830, 0.036,1m012,cpt
NGC_6814,u,59823.958064, 1.883, 0.028,1m010,cpt
NGC_6814,u,59823.959757, 1.854, 0.029,1m010,cpt
NGC_6814,u,59825.142539, 2.192, 0.023,1m004,lsc
NGC_6814,u,59825.144244, 2.146, 0.023,1m004,lsc
NGC_6814,u,59825.871714, 2.391, 0.021,1m012,cpt
NGC_6814,u,59825.873407, 2.390, 0.021,1m012,cpt
NGC_6814,u,59826.154299, 2.292, 0.024,1m004,lsc
NGC_6814,u,59826.155980, 2.300, 0.025,1m004,lsc
NGC_6814,u,59826.941491, 2.169, 0.014,1m001,tfn
NGC_6814,u,59826.943183, 2.194, 0.015,1m001,tfn
NGC_6814,u,59827.470821, 1.969, 0.036,1m011,coj
NGC_6814,u,59827.472526, 1.941, 0.031,1m011,coj
NGC_6814,u,59827.759207, 1.957, 0.031,1m012,cpt
NGC_6814,u,59827.760922, 1.947, 0.031,1m012,cpt
NGC_6814,u,59828.017830, 1.991, 0.020,1m001,tfn
NGC_6814,u,59828.019534, 1.956, 0.020,1m001,tfn
NGC_6814,u,59829.724025, 2.290, 0.026,1m013,cpt
NGC_6814,u,59829.725718, 2.302, 0.026,1m013,cpt
NGC_6814,u,59829.843939, 2.336, 0.025,1m013,cpt
NGC_6814,u,59829.845631, 2.333, 0.025,1m013,cpt
NGC_6814,u,59830.132683, 2.294, 0.082,1m008,elp
NGC_6814,u,59830.724331, 2.604, 0.027,1m013,cpt
NGC_6814,u,59830.726023, 2.612, 0.026,1m013,cpt
NGC_6814,u,59830.819997, 2.538, 0.031,1m010,cpt
NGC_6814,u,59830.821689, 2.479, 0.028,1m010,cpt
NGC_6814,u,59830.924919, 2.635, 0.050,1m012,cpt
NGC_6814,u,59830.926612, 2.669, 0.051,1m012,cpt
NGC_6814,u,59831.104888, 2.674, 0.018,1m005,lsc
NGC_6814,u,59831.106593, 2.671, 0.018,1m005,lsc
NGC_6814,u,59831.781147, 2.678, 0.023,1m013,cpt
NGC_6814,u,59831.782839, 2.628, 0.023,1m013,cpt
NGC_6814,u,59831.823279, 2.724, 0.034,1m012,cpt
NGC_6814,u,59831.824971, 2.691, 0.035,1m012,cpt
NGC_6814,u,59832.019286, 2.629, 0.042,1m001,tfn
NGC_6814,u,59832.020979, 2.601, 0.042,1m001,tfn
NGC_6814,u,59832.226876, 2.620, 0.051,1m009,lsc
NGC_6814,u,59832.228592, 2.481, 0.052,1m009,lsc
NGC_6814,u,59832.864359, 2.677, 0.037,1m010,cpt
NGC_6814,u,59832.866052, 2.715, 0.037,1m010,cpt
NGC_6814,u,59832.884634, 2.632, 0.038,1m010,cpt
NGC_6814,u,59832.886338, 2.649, 0.038,1m010,cpt
NGC_6814,u,59833.120392, 2.815, 0.019,1m005,lsc
NGC_6814,u,59833.122096, 2.798, 0.019,1m005,lsc
NGC_6814,u,59833.256525, 2.460, 0.042,1m008,elp
NGC_6814,u,59833.258218, 2.496, 0.044,1m008,elp
NGC_6814,u,59833.576651, 2.653, 0.027,1m011,coj
NGC_6814,u,59833.578357, 2.615, 0.027,1m011,coj
NGC_6814,u,59833.947667, 2.803, 0.020,1m001,tfn
NGC_6814,u,59833.949359, 2.767, 0.020,1m001,tfn
NGC_6814,u,59834.113555, 2.764, 0.030,1m004,lsc
NGC_6814,u,59834.115248, 2.755, 0.030,1m004,lsc
NGC_6814,u,59834.172841, 2.747, 0.017,1m005,lsc
NGC_6814,u,59834.174534, 2.704, 0.017,1m005,lsc
NGC_6814,u,59834.492056, 2.633, 0.017,1m003,coj
NGC_6814,u,59834.493749, 2.662, 0.017,1m003,coj
NGC_6814,u,59834.602884, 2.461, 0.030,1m003,coj
NGC_6814,u,59834.604577, 2.534, 0.031,1m003,coj
NGC_6814,u,59834.864945, 2.733, 0.013,1m014,tfn
NGC_6814,u,59834.866637, 2.727, 0.013,1m014,tfn
NGC_6814,u,59835.008969, 2.642, 0.026,1m001,tfn
NGC_6814,u,59835.010673, 2.587, 0.025,1m001,tfn
NGC_6814,u,59835.082008, 2.638, 0.014,1m009,lsc
NGC_6814,u,59835.083713, 2.665, 0.014,1m009,lsc
NGC_6814,u,59835.404700, 2.608, 0.015,1m003,coj
NGC_6814,u,59835.406394, 2.539, 0.017,1m003,coj
NGC_6814,u,59835.554546, 2.510, 0.018,1m003,coj
NGC_6814,u,59835.556238, 2.502, 0.018,1m003,coj
NGC_6814,u,59835.599064, 2.318, 0.028,1m003,coj
NGC_6814,u,59835.600769, 2.371, 0.029,1m003,coj
NGC_6814,u,59835.914593, 2.459, 0.030,1m012,cpt
NGC_6814,u,59835.916285, 2.504, 0.031,1m012,cpt
NGC_6814,u,59836.112215, 2.449, 0.025,1m004,lsc
NGC_6814,u,59836.113920, 2.418, 0.025,1m004,lsc
NGC_6814,u,59836.134715, 2.499, 0.012,1m005,lsc
NGC_6814,u,59836.136407, 2.515, 0.012,1m005,lsc
NGC_6814,u,59836.794356, 2.453, 0.014,1m013,cpt
NGC_6814,u,59836.796048, 2.428, 0.014,1m013,cpt
NGC_6814,u,59836.913300, 2.377, 0.028,1m012,cpt
NGC_6814,u,59836.915015, 2.361, 0.028,1m012,cpt
NGC_6814,u,59837.154185, 2.436, 0.014,1m009,lsc
NGC_6814,u,59837.155881, 2.392, 0.014,1m009,lsc
NGC_6814,u,59837.741744, 2.561, 0.017,1m013,cpt
NGC_6814,u,59837.743437, 2.562, 0.016,1m013,cpt
NGC_6814,u,59837.882068, 2.646, 0.018,1m013,cpt
NGC_6814,u,59837.883760, 2.552, 0.018,1m013,cpt
NGC_6814,u,59838.079909, 2.809, 0.014,1m009,lsc
NGC_6814,u,59838.081625, 3.216, 0.022,1m009,lsc
NGC_6814,u,59838.160230, 2.557, 0.022,1m005,lsc
NGC_6814,u,59838.161934, 2.583, 0.030,1m005,lsc
NGC_6814,u,59838.422286, 2.807, 0.136,1m003,coj
NGC_6814,u,59838.559689, 2.595, 0.102,1m003,coj
NGC_6814,u,59838.954006, 2.929, 0.013,1m014,tfn
NGC_6814,u,59838.955698, 2.921, 0.013,1m014,tfn
NGC_6814,u,59839.214723, 2.902, 0.013,1m006,elp
NGC_6814,u,59839.216416, 2.883, 0.013,1m006,elp
NGC_6814,u,59840.081047, 2.743, 0.015,1m008,elp
NGC_6814,u,59840.082750, 2.731, 0.014,1m008,elp
NGC_6814,u,59840.438059, 2.743, 0.012,1m003,coj
NGC_6814,u,59840.439764, 2.753, 0.012,1m003,coj
NGC_6814,u,59840.587566, 2.595, 0.018,1m003,coj
NGC_6814,u,59840.589270, 2.556, 0.018,1m003,coj
NGC_6814,u,59840.991609, 2.636, 0.025,1m004,lsc
